,Fine-tuned FCNs,NNE,ALL,ResNets
50words,66.8131868131868,80.0,80.0,77.14285714285715
Adiac,85.16624040920716,85.16624040920716,83.37595907928389,83.63171355498721
ArrowHead,84.0,86.28571428571429,86.28571428571429,86.85714285714286
Beef,76.66666666666667,76.66666666666667,80.0,76.66666666666667
BeetleFly,90.0,85.0,85.0,85.0
BirdChicken,90.0,95.0,85.0,90.0
CBF,99.77777777777777,99.44444444444443,98.55555555555556,99.77777777777777
Car,91.66666666666666,95.0,86.66666666666667,93.33333333333333
ChlorineConcentration,82.421875,85.05208333333333,83.984375,85.49479166666667
CinC_ECG_torso,85.86956521739131,89.71014492753623,92.89855072463769,83.55072463768116
Coffee,100.0,100.0,100.0,100.0
Computers,83.2,83.6,71.6,83.6
Cricket_X,78.97435897435898,82.05128205128204,77.94871794871796,81.53846153846153
Cricket_Y,79.23076923076923,84.35897435897436,78.71794871794872,82.05128205128204
Cricket_Z,82.05128205128204,83.84615384615385,79.48717948717949,82.05128205128204
DiatomSizeReduction,30.065359477124183,30.065359477124183,88.56209150326796,30.065359477124183
DistalPhalanxOutlineAgeGroup,71.94244604316546,72.66187050359713,76.25899280575541,73.38129496402878
DistalPhalanxOutlineCorrect,77.53623188405797,77.89855072463769,77.89855072463769,78.98550724637681
DistalPhalanxTW,71.22302158273382,65.46762589928058,67.62589928057554,66.18705035971223
ECG200,89.0,89.0,92.0,88.0
ECG5000,94.15555555555557,94.42222222222222,94.51111111111112,93.66666666666667
ECGFiveDays,99.53542392566784,99.88385598141696,99.65156794425089,98.60627177700349
Earthquakes,71.94244604316546,74.82014388489209,74.82014388489209,72.66187050359713
ElectricDevices,71.74166774737388,74.38723900920763,73.0255479185579,74.2186486836986
FISH,96.0,97.71428571428572,93.71428571428572,98.28571428571428
FaceAll,92.84023668639053,86.3905325443787,83.90532544378698,84.02366863905326
FaceFour,93.18181818181817,95.45454545454545,92.04545454545455,95.45454545454545
FacesUCR,93.95121951219511,95.75609756097559,95.51219512195121,95.90243902439025
FordA,90.66925853929465,93.69619550124966,94.22382671480143,92.55762288253264
FordB,88.03630363036304,92.9042904290429,92.32673267326732,92.16171617161716
Gun_Point,100.0,100.0,99.33333333333331,99.33333333333331
Ham,74.28571428571429,75.23809523809524,74.28571428571429,78.0952380952381
HandOutlines,92.7027027027027,95.13513513513514,93.78378378378378,93.78378378378378
Haptics,50.649350649350644,52.5974025974026,50.97402597402597,53.246753246753244
Herring,65.625,60.9375,62.5,60.9375
InlineSkate,40.545454545454554,38.36363636363636,38.0,38.54545454545455
